;id;eng;fra;esp;lang1;lang2
1;english;English;English;English;English;English
2;french;Français;Français;Français;Français;Français
3;spanish;Español;Español;Español;Español;Español
4;language1;Magyar;Magyar;Magyar;Magyar;Magyar
5;language2;Language2;Language2;Language2;Language2;Language2
6;sorting;Sort countries;;;Sorbarendezés;
7;stacked;Stack documents;;;Részletezés;
8;dnparticipate;Did not participate;;;Nem vett részt;
9;ebp;Executive's Budget Proposal;;;Költségvetési javaslat;
10;eb;Enacted Budget;;;Elfogadott költségvetés;
11;ar;Audit Report;;;Számvevőszéki jelentés;
12;cb;Citizens' Budget;;;Polgárok költségvetése;
13;iyr;In-Year Report;;;Évközi jelentés;
14;myr;Mid-Year Review;;;Féléves jelentés;
15;pbs;Pre-Budget Statement;;;Költségvetési irányelvek;
16;yer;Year-End Review;;;Éves jelentés;
17;Afghanistan;Afghanistan;;;Afganisztán;
18;Albania;Albania;;;Albánia;
19;Algeria;Algeria;;;Algéria;
20;Angola;Angola;;;Angola;
21;Argentina;Argentina;;;Argentína;
22;Australia;Australia;;;Ausztrália;
23;Azerbaijan;Azerbaijan;;;Azerbajdzsán;
24;Bangladesh;Bangladesh;;;Banglades;
25;Benin;Benin;;;Benin;
26;Bolivia;Bolivia;;;Bolívia;
27;Bosnia and Herzegovina;Bosnia and Herzegovina;;;Bosznia és Hercegovina;
28;Botswana;Botswana;;;Botswana;
29;Brazil;Brazil;;;Brazília;
30;Bulgaria;Bulgaria;;;Bulgária;
31;Burkina Faso;Burkina Faso;;;Burkina Faso;
32;Burundi;Burundi;;;Burundi;
33;Cambodia;Cambodia;;;Kambodzsa;
34;Cameroon;Cameroon;;;Kamerun;
35;Canada;Canada;;;Kanada;
36;Chad;Chad;;;Csád;
37;Chile;Chile;;;Chile;
38;China;China;;;Kína;
39;Colombia;Colombia;;;Kolumbia;
40;Comoros;Comoros;;;Comore-szigetek;
41;Costa Rica;Costa Rica;;;Costa Rica;
42;Cote d'Ivoire;Cote d'Ivoire;;;Elefántcsontpart;
43;Croatia;Croatia;;;Horvátország;
44;Czech Republic;Czech Republic;;;Csehország;
45;Democratic Republic of Congo;Dem. Republic of Congo;;;Kongói Dem. Köztársaság;
46;Dominican Republic;Dominican Republic;;;Dominikai Köztársaság;
47;Ecuador;Ecuador;;;Ecuador;
48;Egypt;Egypt;;;Egyiptom;
49;El Salvador;El Salvador;;;El Salvador;
50;Equatorial Guinea;Equatorial Guinea;;;Egyenlítői Guinea;
51;Fiji;Fiji;;;Fidzsi-szigetek;
52;France;France;;;Franciaország;
53;Georgia;Georgia;;;Georgia;
54;Germany;Germany;;;Németország;
55;Ghana;Ghana;;;Ghána;
56;Guatemala;Guatemala;;;Guatemala;
57;Honduras;Honduras;;;Hondura;
58;Hungary;Hungary;;;Magyarország;
59;India;India;;;India;
60;Indonesia;Indonesia;;;Indonézia;
61;Iraq;Iraq;;;Irak;
62;Italy;Italy;;;Olaszország;
63;Japan;Japan;;;Japán;
64;Jordan;Jordan;;;Jordánia;
65;Kazakhstan;Kazakhstan;;;Kazahsztán;
66;Kenya;Kenya;;;Kenya;
67;Kyrgyz Republic;Kyrgyz Republic;;;Kirgizisztán;
68;Lebanon;Lebanon;;;Libanon;
69;Lesotho;Lesotho;;;Lesotho;
70;Liberia;Liberia;;;Libéria;
71;Macedonia;Macedonia;;;Macedónia;
72;Madagascar;Madagascar;;;Madagaszkár;
73;Malawi;Malawi;;;Malawi;
74;Malaysia;Malaysia;;;Malajzia;
75;Mali;Mali;;;Mali;
76;Mexico;Mexico;;;Mexikó;
77;Moldova;Moldova;;;Moldova;
78;Mongolia;Mongolia;;;Mongólia;
79;Morocco;Morocco;;;Marokkó;
80;Mozambique;Mozambique;;;Mozambik;
81;Myanmar;Myanmar;;;Mianmar;
82;Namibia;Namibia;;;Namíbia;
83;Nepal;Nepal;;;Nepál;
84;New Zealand;New Zealand;;;Új-Zéland;
85;Nicaragua;Nicaragua;;;Nicaragua;
86;Niger;Niger;;;Niger;
87;Nigeria;Nigeria;;;Nigéria;
88;Norway;Norway;;;Norvégia;
89;Pakistan;Pakistan;;;Pakisztán;
90;Papua New Guinea;Papua New Guinea;;;Pápua Új-Guinea;
91;Paraguay;Paraguay;;;Paraguay;
92;Peru;Peru;;;Peru;
93;Philippines;Philippines;;;Fülöp-szigetek;
94;Poland;Poland;;;Lengyelország;
95;Portugal;Portugal;;;Portugália;
96;Qatar;Qatar;;;Katar;
97;Romania;Romania;;;Románia;
98;Russia;Russia;;;Oroszország;
99;Rwanda;Rwanda;;;Ruanda;
100;Sao Tomé e Príncipe;Sao Tome and Principe;;;Sao Tomé és Príncipe;
101;Saudi Arabia;Saudi Arabia;;;Szaúd-Arábia;
102;Senegal;Senegal;;;Szenegál;
103;Serbia;Serbia;;;Szerbia;
104;Sierra Leone;Sierra Leone;;;Sierra Leone;
105;Slovakia;Slovakia;;;Szlovákia;
106;Slovenia;Slovenia;;;Szlovénia;
107;Somalia;Somalia;;;Szomália;
108;South Africa;South Africa;;;Dél-Afrika;
109;South Korea;South Korea;;;Dél-Korea;
110;South Sudan;South Sudan;;;Dél-Szudán;
111;Spain;Spain;;;Spanyolország;
112;Sri Lanka;Sri Lanka;;;Sri Lanka;
113;Sudan;Sudan;;;Szudán;
114;Swaziland;Swaziland;;;Szváziföld;
115;Sweden;Sweden;;;Svédország;
116;Tajikistan;Tajikistan;;;Tadzsikisztán;
117;Tanzania;Tanzania;;;Tanzánia;
118;Thailand;Thailand;;;Thaiföld;
119;Timor-Leste;Timor-Leste;;;Kelet-Timor;
120;Trinidad and Tobago;Trinidad and Tobago;;;Trinidad és Tobago;
121;Tunisia;Tunisia;;;Tunézia;
122;Turkey;Turkey;;;Törökország;
123;Uganda;Uganda;;;Uganda;
124;Ukraine;Ukraine;;;Ukrajna;
125;United Kingdom;United Kingdom;;;Egyesült Királyság;
126;United States;United States;;;Amerikai Egyesült Államok;
127;Venezuela;Venezuela;;;Venezuela;
128;Vietnam;Vietnam;;;Vietnam;
129;Yemen;Yemen;;;Jemen;
130;Zambia;Zambia;;;Zambia;
131;Zimbabwe;Zimbabwe;;;Zimbabwe;
132;helptext;<h1>Discover the rankings of Open Budget Index!</h1> <p>With the language buttons in the upper left corner you can change the language of the visualization.</p> <p>Using the dropdown menu you can choose which year's data you would like to see.</p> <p>The "Sort countries" checkbox reorders the countries by their actually presented scores to show the best performing countries.</p> <p>You may also select a country by clicking on it and then the chart will highlight it when you reorder the chart or select another year.</p> <p>The "Stack documents" checkbox reveals which budget documents contributed to the countries' OBI score. Clicking on one of the colored rectangles in the legend will let you select only that budget document.</p>;;;<h1>Fedezze fel az Open Budget Index rangsorát!</h1> <p>A bal felső gombokkal változtathatja meg a megjelenítés nyelvét.</p> <p>Az évszámokat tartalmazó legördülő menüben kiválaszthatja, hogy melyik év felmérésének adatait kívánja megtekinteni.</p> <p>A "Sorbarendezés" gomb bejelölésével megnézheti, hogy mely országok teljesítettek a legjobban. Jelölés nélkül az országok ábécé sorrendben vagy a legutóbbi sorrendben jelennek meg.</p> <p>Az oszlopra kattintással kiválaszthat egy országot, és ezt követően a sorba rendezésnél, illetve másik év választásánál megkülönböztető színnel jelenik meg az ország.</p> <p>A "Részletezés" gombbal megvizsgálhatja, hogy az egyes költségvetési dokumentumok hogyan járultak hozzá az OBI pontszámhoz. A jelmagyarázat egy színes négyzetére kattintva egy dokumentumra szűkítheti az eredményeket. Egy másik négyzetre kattintással másik dokumentumra válthat, míg az éppen kiválasztott négyzetre kattintással újra a teljes pontszám felosztása jelenik meg.</p>;
133;helptextmap;<h1>Discover the world of Open Budget Index!</h1> <p>You may select a language by using the buttons in the top left corner.</p> <p>using the dropdown menu you may select the year of the Open Budget Survey you wish to visualize.</p> <p>You can navigate on the map by dragging it or zoom in by using the mouse wheel.</p> <p>If you zoom in, you may also discover the individual OBI scores of the countries.</p><p>You can compare the results to a country's or other year's results. Selecting a country in the table below, and then choosing "Compare countries" recolors the map. Selecting "Compare to another year" recolors the map by showing which countries increased or decreased their scores. The base year of the comparison can be changed in the "Base year" dropdown menu.</p>;;;<h1>Fedezze fel az Open Budget Index világát!</h1> <p>A bal felső sarokban kiválaszthatja a megjelenítés nyelvét.</p> <p>Az évszámokat tartalmazó legördülő menüből a megjeleníteni kívánt évet választhatja ki.</p> <p>A térképet a térkép valamely pontjára kattintva és a gombot lenyomva tartva az egér mozgatásával tudja mozgatni. Az egér görgőjével nagyíthatja, kicsinyítheti a térképet.<br>Részletes nagyításban az országok fővárosainak helyén megjelennek az elért pontszámok.</p> <p>Az aktuális év eredményeit egy kiválasztott országhoz vagy egy másik évhez is hasonlíthatja. A jobb oldali táblázatban választhatja ki a kívánt országot, majd az "Országok közötti összehasonlítás" gombbal megnézheti, kik teljesítettek jobban vagy rosszabbul a kiválasztott országhoz képest. Az "Időbeli összehasonlítást" választva megnézheti, kik javítottak vagy rontottak eredményeiken. Az összehasonlítás kiindulási évét a "Bázisév" legördülő menüből választhatja ki. </p>;
134;scoretext;Score;;;Pontszám;
135;Point0;OBI Score 0;;;0 OBI pontos;
136;Point1-40;OBI Score between 0 and 40;;;0 és 40 közötti OBI pontszám;
137;Point41-60;OBI Score between 41 and 60;;;41 és 60 közötti OBI pontszám;
138;Point60;OBI Score above 60;;;60 feletti OBI pontszám;
139;Country;Country;;;Ország;
140;Compare;Compare countries;;;Országok közötti összehasonlítás;
141;Fullscore; Absolute level;;;Teljes pontszám;
142;Point-15;Worse by more than 15 points;;;Legalább 15-el kevesebb;
143;Point-5;Worse by 5-15 points;;;5-15 ponttal kevesebb;
144;Point-5+5;Score between -5 and +5 points;;;Legfeljebb 5 ponttal tér el;
145;Point+5;Better by 5-15 points;;;5-15 ponttal magasabb;
146;Point+15;Better by more than 15 points;;;Legalább 15-el magasabb;
147;CompareYears; Compare to another year;;;Időbeli összehasonlítás;
148;BaseYear; Base year;;;Bázisév;
149;MainWeb; Back to KFIB webpage;;;Vissza a KFIB honlapjára;
150;ResultYear; Presented year;;;Felmérés éve;
151;ComparisonType; Comparison type;;;Összehasonlítás típusa;
152;scoreoldtext; Base year's score;;;Bázisév pontszáma;
